


Start at 28-10-2015, 15:49:32

28-10-2015, 15:49:46cx=118, cy=28, region=F



Start at 28-10-2015, 15:51:10

28-10-2015, 15:51:17cx=142, cy=32, region=F
28-10-2015, 15:51:18cx=142, cy=32, region=F
28-10-2015, 15:51:19cx=141, cy=32, region=F
28-10-2015, 15:51:20cx=142, cy=32, region=F
28-10-2015, 15:51:21cx=141, cy=33, region=F
28-10-2015, 15:51:22cx=152, cy=106, region=F
28-10-2015, 15:51:23cx=150, cy=106, region=F
28-10-2015, 15:51:24cx=152, cy=107, region=F
28-10-2015, 15:51:25cx=149, cy=78, region=F
28-10-2015, 15:51:27cx=153, cy=107, region=F
28-10-2015, 15:51:28cx=147, cy=78, region=F
28-10-2015, 15:51:29cx=157, cy=107, region=F
28-10-2015, 15:51:30cx=154, cy=106, region=F
28-10-2015, 15:51:31cx=158, cy=107, region=F
28-10-2015, 15:51:32cx=158, cy=68, region=F
28-10-2015, 15:51:33cx=149, cy=106, region=F
28-10-2015, 15:51:34cx=149, cy=105, region=F
28-10-2015, 15:51:35cx=152, cy=106, region=F
28-10-2015, 15:51:36cx=148, cy=105, region=F
28-10-2015, 15:51:38cx=152, cy=106, region=F
28-10-2015, 15:51:39cx=149, cy=106, region=F
28-10-2015, 15:51:40cx=154, cy=105, region=F
28-10-2015, 15:51:41cx=151, cy=78, region=F
28-10-2015, 15:51:43cx=153, cy=76, region=F
28-10-2015, 15:51:44cx=150, cy=106, region=F
28-10-2015, 15:51:45cx=158, cy=104, region=F
28-10-2015, 15:51:46cx=156, cy=105, region=F
28-10-2015, 15:51:47cx=150, cy=106, region=F
28-10-2015, 15:51:48cx=151, cy=106, region=F
28-10-2015, 15:51:49cx=151, cy=106, region=F
28-10-2015, 15:51:50cx=157, cy=104, region=F
28-10-2015, 15:51:51cx=149, cy=106, region=F
28-10-2015, 15:51:53cx=149, cy=106, region=F
28-10-2015, 15:51:54cx=149, cy=106, region=F
28-10-2015, 15:51:55cx=153, cy=106, region=F
28-10-2015, 15:51:56cx=147, cy=105, region=F
28-10-2015, 15:51:57cx=152, cy=106, region=F
28-10-2015, 15:51:58cx=151, cy=106, region=F
28-10-2015, 15:51:59cx=150, cy=106, region=F
28-10-2015, 15:52:00cx=149, cy=105, region=F
28-10-2015, 15:52:01cx=148, cy=105, region=F
28-10-2015, 15:52:02cx=150, cy=105, region=F
28-10-2015, 15:52:04cx=149, cy=105, region=F
28-10-2015, 15:52:05cx=148, cy=105, region=F
28-10-2015, 15:52:06cx=151, cy=106, region=F
28-10-2015, 15:52:07cx=153, cy=106, region=F
28-10-2015, 15:52:08cx=150, cy=105, region=F
28-10-2015, 15:52:09cx=149, cy=105, region=F
28-10-2015, 15:52:10cx=156, cy=107, region=F
28-10-2015, 15:52:11cx=186, cy=95, region=F
28-10-2015, 15:52:12cx=111, cy=154, region=L
28-10-2015, 15:52:13cx=75, cy=52, region=F
28-10-2015, 15:52:15cx=229, cy=84, region=F
28-10-2015, 15:52:16cx=222, cy=86, region=F
28-10-2015, 15:52:17cx=7, cy=30, region=L
28-10-2015, 15:52:18cx=65, cy=128, region=L
28-10-2015, 15:52:19cx=70, cy=128, region=L
